,DateTime,Temperature,Humidity,Wind Speed,general diffuse flows,diffuse flows,Zone 1 Power Consumption,Zone 2  Power Consumption,Zone 3  Power Consumption
32612,8/15/2017 11:20,27.62,43.98,4.904,753.0,32.18,41151.07658,28153.74868,24893.7931
32613,8/15/2017 11:30,27.66,44.78,4.905,767.0,33.14,41400.39956,28073.91763,25423.44828
32614,8/15/2017 11:40,28.03,43.58,4.909,780.0,33.5,41841.50943,28222.17529,26013.29154
32617,8/15/2017 12:10,28.83,40.68,4.905,809.0,33.8,42141.97558,28408.44773,26783.69906
32618,8/15/2017 12:20,28.94,40.38,4.906,818.0,33.45,42212.29745,28359.02851,26904.07524
32619,8/15/2017 12:30,29.0,40.15,4.905,825.0,33.33,42506.3707,28461.66843,27078.62069
32620,8/15/2017 12:40,29.18,39.85,4.909,832.0,32.75,42359.33407,28522.49208,27403.63636
32623,8/15/2017 13:10,29.29,39.81,4.904,839.0,32.69,42397.69145,28742.97782,27433.73041
32624,8/15/2017 13:20,29.45,40.25,4.904,836.0,33.06,42423.26304,28765.78669,27451.78683
32626,8/15/2017 13:40,29.52,40.55,4.906,830.0,33.55,42122.79689,28868.42661,27259.18495
32627,8/15/2017 13:50,29.41,40.78,4.907,826.0,33.37,42014.11765,29066.10348,27385.57994
32629,8/15/2017 14:10,29.6,38.31,4.904,815.0,32.2,42193.11876,28993.8754,27301.31661
32631,8/15/2017 14:30,30.06,36.91,4.906,792.0,31.49,41994.93896,29202.95671,26934.16928
32632,8/15/2017 14:40,29.87,38.11,4.907,784.0,31.43,41470.72142,28967.26505,26789.71787
32635,8/15/2017 15:10,29.7,39.98,4.906,738.0,31.01,39930.0333,28765.78669,26645.26646
32637,8/15/2017 15:30,29.75,40.81,4.905,703.0,30.64,39853.31853,28054.91024,26561.00313
32639,8/15/2017 15:50,29.37,40.98,4.904,662.1,30.26,40371.14317,28557.63041,26494.79624
32642,8/15/2017 16:20,29.01,41.91,4.907,592.3,30.39,39533.6737,27058.92291,26645.26646
32643,8/15/2017 16:30,28.63,42.85,4.907,567.6,30.09,39335.4939,26906.86378,26801.75549
32644,8/15/2017 16:40,28.7,42.65,4.906,542.2,29.89,39066.99223,26986.69483,26910.09404
32645,8/15/2017 16:50,28.45,43.75,4.906,515.9,29.8,38919.9556,26922.06969,27060.56426
32646,8/15/2017 17:00,28.37,43.41,4.908,487.1,29.64,38063.30744,26709.18691,27084.6395
32647,8/15/2017 17:10,28.38,43.78,4.904,458.8,31.95,37980.19978,26408.87012,27229.09091
32649,8/15/2017 17:30,28.02,43.78,4.905,290.8,151.0,38210.34406,26454.48786,27638.36991
32650,8/15/2017 17:40,27.9,43.58,4.905,367.5,354.4,38344.59489,26310.03168,27993.47962
32651,8/15/2017 17:50,27.9,42.88,4.905,334.0,361.3,38076.09323,26214.99472,28294.42006
32652,8/15/2017 18:00,27.85,41.71,4.91,306.3,336.4,38299.84462,26081.94298,28571.28527
32653,8/15/2017 18:10,27.81,40.95,4.906,275.6,304.9,38600.31077,26272.0169,28944.45141
32654,8/15/2017 18:20,27.54,40.78,4.905,245.6,273.5,38862.41953,26500.1056,29239.37304
32655,8/15/2017 18:30,27.39,41.15,4.905,215.6,242.1,39079.77802,26644.56177,29606.52038
32657,8/15/2017 18:50,27.05,42.75,4.905,156.4,178.6,40722.7525,27526.50475,31749.2163
32659,8/15/2017 19:10,26.45,45.12,266.905,103.1,119.2,44711.92009,30902.21753,37172.16301
32661,8/15/2017 19:30,26.06,46.45,4.906,57.73,67.62,49314.80577,33795.14256,40139.43574
32662,8/15/2017 19:40,25.73,47.68,4.904,37.83,43.99,50516.67037,34365.36431,40747.33542
32663,8/15/2017 19:50,25.36,49.42,4.904,18.0,18.07,3538851.9425,34692.29145,40590.84639
32665,8/15/2017 20:10,24.91,52.08,4.908,2.731,2.341,50452.7414,34715.10032,40301.94357
32666,8/15/2017 20:20,24.72,53.05,4.905,0.764,0.593,50395.20533,34483.21014,39874.60815
32667,8/15/2017 20:30,24.57,53.92,4.908,0.186,0.13,50401.59822,33806.54699,39182.44514
32668,8/15/2017 20:40,24.4,55.62,4.91,0.102,0.063,50331.27636,33753.32629,38809.279
32669,8/15/2017 20:50,24.13,57.45,4.911,0.099,0.078,49487.41398,33570.85533,38508.33856
32670,8/15/2017 21:00,23.95,58.59,4.907,0.121,0.067,49270.05549,33635.48046,38105.07837
32672,8/15/2017 21:20,23.49,60.19,4.911,0.077,0.111,48899.26748,33300.95037,37551.34796
32673,8/15/2017 21:30,23.42,60.12,4.906,0.099,0.093,48458.1576,32985.42767,37178.18182
32674,8/15/2017 21:40,23.27,60.19,4.908,0.099,0.07,47799.68923,32806.75818,36811.03448
32676,8/15/2017 22:00,23.11,60.09,4.903,0.077,0.089,47000.57714,32061.66843,35661.44201
32677,8/15/2017 22:10,23.05,61.02,4.909,0.102,0.059,46310.14428,31571.27772,35450.7837
32678,8/15/2017 22:20,22.99,61.55,4.909,0.088,0.082,45677.2475,31232.94615,35011.41066
32679,8/15/2017 22:30,23.02,61.52,4.91,0.117,0.041,44750.27747,31145.51214,34271.09718
32681,8/15/2017 22:50,22.93,61.29,4.915,0.08,0.096,43267.12542,30225.55438,33392.3511
32682,8/15/2017 23:00,22.92,61.15,4.907,0.084,0.093,42602.26415,29959.4509,32886.77116
32683,8/15/2017 23:10,22.89,61.15,4.908,0.084,0.074,41553.82908,29355.01584,32513.60502
32684,8/15/2017 23:20,22.84,62.32,4.908,0.084,0.093,40690.78801,28834.21331,32032.10031
32685,8/15/2017 23:30,22.83,62.62,4.91,0.117,0.096,40195.99667,28461.66843,31315.86207
32686,8/15/2017 23:40,22.84,62.79,4.91,0.062,0.085,38830.45505,27496.09293,30738.05643
32687,8/15/2017 23:50,22.81,64.22,4.916,0.077,0.082,38024.95006,27142.55544,30154.23197
32688,8/16/2017 0:00,22.63,65.32,4.909,0.077,0.078,37411.23196,26469.69377,29708.84013
32689,8/16/2017 0:10,22.54,488.22,4.91,0.073,0.148,36682.44173,26066.73706,29167.14734
32690,8/16/2017 0:20,22.56,66.29,4.913,0.062,0.122,36011.18757,25614.36114,28468.96552
32691,8/16/2017 0:30,22.63,65.29,4.911,0.055,0.152,35122.57492,24949.10243,27909.2163
32692,8/16/2017 0:40,22.77,63.29,4.911,0.084,0.074,34508.85683,24257.23337,27373.54232
32693,8/16/2017 0:50,22.75,63.25,4.911,0.073,0.115,33920.71032,23956.91658,26825.83072
32694,8/16/2017 1:00,22.75,63.15,4.909,0.095,,33076.84795,23352.48152,26416.55172
32695,8/16/2017 1:10,22.7,63.92,4.911,0.073,0.085,32648.52386,22953.32629,25832.72727
32697,8/16/2017 1:30,22.54,64.65,4.91,0.062,0.115,31395.51609,22326.08237,1645704.82754
32698,8/16/2017 1:40,22.47,66.62,4.909,0.073,0.104,30800.97669,21793.8754,23834.48276
32699,8/16/2017 1:50,22.33,67.19,4.909,0.069,0.089,30596.404,21276.87434,23310.84639
32700,8/16/2017 2:00,22.3,67.46,4.912,0.095,0.089,30251.18757,20961.35164,22859.43574
32701,8/16/2017 2:10,22.27,68.46,4.911,0.066,0.067,30142.50832,20896.7265,22546.45768
32702,8/16/2017 2:20,22.19,69.02,4.912,0.066,0.107,29803.68479,20512.77719,22257.55486
32703,8/16/2017 2:30,22.18,68.62,4.91,0.069,0.1,29541.57603,20360.71806,21920.50157
32705,8/16/2017 2:50,22.51,64.12,4.912,0.055,0.111,29132.43063,19665.04752,21475.10972
32706,8/16/2017 3:00,22.54,62.32,4.908,0.062,0.137,29158.00222,19634.63569,21408.90282
32707,8/16/2017 3:10,22.58,62.35,4.912,0.073,0.115,28870.32186,19554.80465,21216.30094
32708,8/16/2017 3:20,22.28,62.92,4.912,0.088,0.096,28844.75028,19448.36325,21150.09404
32709,8/16/2017 3:30,22.2,63.85,4.912,0.077,0.104,28863.92897,19402.74551,21065.83072
32710,8/16/2017 3:40,22.19,64.72,4.914,0.11,0.089,28857.53607,19231.67899,21071.84953
32713,8/16/2017 4:10,21.93,65.56,4.912,0.08,0.115,29490.43285,19478.77508,20746.83386
32714,8/16/2017 4:20,21.97,65.69,4.912,0.077,0.126,28998.1798,19049.20803,20439.87461
32715,8/16/2017 4:30,21.89,65.62,4.91,0.073,0.085,28659.35627,19030.20063,20042.63323
32716,8/16/2017 4:40,21.79,65.79,4.912,0.066,0.122,28576.24861,18836.32524,19627.33542
32717,8/16/2017 4:50,21.79,65.56,4.911,0.117,0.067,28320.53274,18775.50158,19055.54859
32718,8/16/2017 5:00,21.95,64.99,4.909,0.088,0.1,27502.24195,18045.61774,18531.91223
32722,8/16/2017 5:40,21.89,68.49,4.913,0.08,0.104,24510.36626,15757.12777,15618.80878
32723,8/16/2017 5:50,21.86,69.26,4.91,0.088,0.122,24350.54384,15369.37698,15402.13166
32724,8/16/2017 6:00,613.94,69.49,4.912,0.088,0.148,24753.29634,15205.91341,15107.21003
32725,8/16/2017 6:10,21.86,69.46,4.913,0.143,1.887,24778.86792,15646.8849,15065.07837
32727,8/16/2017 6:30,21.93,69.16,4.914,2.259,1.774,25181.62042,15711.51003,15028.96552
32728,8/16/2017 6:40,21.96,69.06,4.911,238.28,6.86,25418.1576,16239.91552,15678.99687
32729,8/16/2017 6:50,21.72,68.12,4.911,27.04,23.57,25648.30189,16623.86484,16262.82132
32730,8/16/2017 7:00,21.88,66.52,4.913,49.38,43.9,26223.6626,17243.50581,16485.51724
32732,8/16/2017 7:20,22.02,67.26,4.912,99.6,82.9,27668.45727,18410.55966,16840.62696
32735,8/16/2017 7:50,22.26,65.82,4.912,190.0,22.92,28716.89234,19900.73918,18652.2884
32736,8/16/2017 8:00,22.66,64.99,4.914,220.8,24.0,29701.39845,20516.57867,18748.58934
32737,8/16/2017 8:10,22.97,65.02,4.913,254.4,24.69,30225.61598,20946.14572,19013.41693
32738,8/16/2017 8:20,23.21,64.75,4.915,287.6,25.16,30538.86792,21748.25766,19344.45141
32740,8/16/2017 8:40,23.74,63.49,4.912,354.3,25.46,31625.66038,22462.93559,19916.23824
32744,8/16/2017 9:20,24.91,58.85,4.914,479.7,27.77,34246.74806,24093.7698,22052.91536
32745,8/16/2017 9:30,25.28,59.05,4.915,506.5,29.15,35212.07547,24709.60929,22763.1348
32746,8/16/2017 9:40,25.53,58.35,4.916,534.9,29.83,35921.68701,25032.73495,23172.41379
32747,8/16/2017 9:50,25.67,57.32,4.915,563.1,30.13,36752.7636,25295.03696,23690.03135
32748,8/16/2017 10:00,25.93,56.85,4.914,588.3,31.18,37577.44728,25561.14044,24213.66771
32749,8/16/2017 10:10,26.2,55.05,4.913,613.8,31.13,38146.41509,26348.04646,24574.79624
32750,8/16/2017 10:20,26.52,54.22,4.914,637.7,32.16,38542.77469,26895.45935,24755.3605
32751,8/16/2017 10:30,26.7,53.45,4.915,659.8,32.05,39354.67259,27150.15839,24911.84953
32752,8/16/2017 10:40,27.07,52.38,4.915,681.5,32.31,39942.81909,27226.18796,24911.84953
32754,8/16/2017 11:00,27.32,51.05,4.911,721.0,33.41,40614.07325,27663.35797,25525.76803
32755,8/16/2017 11:10,27.62,50.65,4.912,740.0,34.3,41055.18313,28115.7339,25754.48276
32756,8/16/2017 11:20,27.86,50.08,4.908,758.0,34.6,41419.57825,28381.83738,25856.80251
32757,8/16/2017 11:30,27.93,49.38,4.906,774.0,35.59,41975.76027,28244.98416,25850.7837
32758,8/16/2017 11:40,28.2,48.58,4.908,787.0,36.16,41969.36737,28423.65364,25983.19749
32759,8/16/2017 11:50,28.55,47.62,4.908,799.0,36.78,42020.51054,28727.77191,26326.26959
32760,8/16/2017 12:00,28.59,48.02,4.907,809.0,36.31,41860.68812,28446.46251,26404.51411
32761,8/16/2017 12:10,28.63,47.05,4.91,821.0,37.25,42161.15427,28336.21964,26621.19122
32762,8/16/2017 12:20,28.69,47.58,4.908,827.0,37.4,42359.33407,28355.22703,26958.24451
32763,8/16/2017 12:30,29.27,47.05,4.909,835.0,37.36,42499.9778,28454.06547,27168.90282
32764,8/16/2017 12:40,29.34,45.65,4.909,841.0,37.74,42384.90566,28332.41816,27325.39185
32765,8/16/2017 12:50,29.2,45.62,4.908,843.0,37.46,42314.5838,28077.71911,27481.88088
32766,8/16/2017 13:00,29.35,44.71,348.468,846.0,37.55,42295.40511,28381.83738,27421.69279
32767,8/16/2017 13:10,29.35,44.71,4.905,848.0,37.44,42602.26415,28541.49947,27259.18495
32769,8/16/2017 13:30,29.69,44.55,4.904,846.0,37.87,42896.3374,28545.30095,27307.33542
32770,8/16/2017 13:40,29.97,44.55,4.908,840.0,38.61,42877.15871,28792.39704,27493.9185
32772,8/16/2017 14:00,29.76,45.28,4.908,831.0,38.63,42263.44062,28990.07392,27391.59875
32773,8/16/2017 14:10,29.7,45.12,4.909,822.0,38.85,42282.61931,28955.86061,27235.10972
32774,8/16/2017 14:20,29.79,45.38,4.906,815.0,40.21,42455.22752,28895.03696,27205.01567
32775,8/16/2017 14:30,30.03,44.38,4.904,806.0,39.71,42193.11876,29012.88279,27072.60188
32776,8/16/2017 14:40,29.95,44.41,4.909,794.0,39.15,42263.44062,28731.57339,26928.15047
32777,8/16/2017 14:50,29.75,44.78,4.908,782.0,39.04,41911.8313,28750.58078,26910.09404
32778,8/16/2017 15:00,29.83,44.81,4.907,765.0,37.5,41975.76027,28511.08765,26801.75549
32780,8/16/2017 15:20,30.1,43.55,4.906,726.0,37.16,41253.36293,28317.21225,26115.61129
32781,8/16/2017 15:30,29.94,43.65,4.906,709.0,36.91,41170.25527,28108.13094,26025.32915
32782,8/16/2017 15:40,30.39,43.08,4.908,689.3,37.84,41093.54051,28039.70433,25923.0094
32783,8/16/2017 15:50,29.74,44.38,4.908,671.0,37.98,41099.93341,27834.4245,25995.23511
32784,8/16/2017 16:00,29.66,44.38,4.908,649.3,36.22,40869.78912,27404.85744,26097.55486
32786,8/16/2017 16:20,29.62,45.08,4.905,599.9,34.42,40799.46726,27287.01162,26163.76176
32787,8/16/2017 16:30,29.34,45.65,4.904,577.1,33.38,40486.21532,27199.57761,26229.96865
32788,8/16/2017 16:40,29.15,45.98,4.906,550.0,32.56,39968.39068,27032.31257,26404.51411
32790,8/16/2017 17:00,28.61,46.65,4.908,494.8,31.45,39508.10211,26808.02534,26771.66144
32791,8/16/2017 17:10,28.55,47.05,4.907,466.6,31.84,39124.5283,26948.68004,26904.07524
32792,8/16/2017 17:20,28.58,46.28,4.906,435.4,45.83,39143.70699,26712.98838,27132.78997
32793,8/16/2017 17:30,27.99,47.65,4.908,297.1,100.5,39130.9212,26899.26082,27403.63636
32794,8/16/2017 17:40,27.71,48.88,4.906,371.3,306.5,39003.06326,26876.45195,26699.43574
32796,8/16/2017 18:00,27.6,49.25,4.909,311.1,341.6,39137.3141,26846.04013,28541.19122
32798,8/16/2017 18:20,27.1,51.78,4.908,243.6,270.5,39508.10211,26731.99578,29167.14734
32799,8/16/2017 18:30,26.72,53.28,4.908,212.0,236.9,40134.60599,27302.21753,29576.42633
32800,8/16/2017 18:40,26.5,53.85,4.906,183.2,206.1,40556.53718,27613.93875,30401.00313
32802,8/16/2017 19:00,26.1,54.15,4.905,126.6,144.7,41131.89789,29358.81732,34716.48903
32803,8/16/2017 19:10,25.88,54.72,4.907,100.8,115.9,44232.45283,31210.13728,37948.58934
32804,8/16/2017 19:20,25.67,55.75,4.906,78.6,90.9,47217.93563,32913.19958,39688.02508
32806,8/16/2017 19:40,25.15,57.05,4.906,38.67,44.85,49730.34406,34699.8944,40669.09091
32807,8/16/2017 19:50,24.93,57.08,4.906,15.97,15.27,50037.20311,34981.2038,40626.95925
32808,8/16/2017 20:00,24.64,57.68,4.904,6.042,5.034,50165.06104,34962.19641,40494.54545
32809,8/16/2017 20:10,24.44,58.28,4.906,2.442,2.063,49851.8091,34848.15206,40193.60502
32811,8/16/2017 20:30,24.07,59.11,4.908,0.128,0.13,49455.4495,34266.52587,39633.8558
32813,8/16/2017 20:50,23.79,59.61,0.535,0.088,0.074,48899.26748,33757.12777,38929.65517
32814,8/16/2017 21:00,23.67,59.94,0.069,0.091,0.085,48611.58713,33833.15734,38472.22571
32815,8/16/2017 21:10,23.48,60.15,0.074,0.066,0.133,48400.62153,33449.20803,38165.26646
32816,8/16/2017 21:20,23.3,60.98,0.072,0.091,0.115,46329.32297,33129.88384,37683.76176
32818,8/16/2017 21:40,23.02,62.05,0.068,0.088,0.059,45376.78135,32833.36853,37057.80564
32819,8/16/2017 21:50,22.91,62.34,0.07,0.113,0.078,47237.11432,32829.56705,36209.15361
32820,8/16/2017 22:00,22.79,62.78,0.07,0.091,0.096,48349.47836,32449.41922,35757.74295
32821,8/16/2017 22:10,22.68,63.21,0.069,0.091,0.085,47697.40289,31970.43295,34806.77116
32822,8/16/2017 22:20,22.52,63.75,0.07,0.106,0.111,46732.07547,31354.59345,34216.9279
32823,8/16/2017 22:30,22.4,64.05,0.072,0.11,0.1,45996.89234,31004.85744,33976.17555
32824,8/16/2017 22:40,22.29,64.45,0.067,0.08,0.141,45610.45949,30495.45935,33699.31034
32825,8/16/2017 22:50,22.17,65.12,0.073,0.095,0.111,44590.45505,30305.38543,33338.18182
32826,8/16/2017 23:00,21.97,65.79,0.067,0.113,0.093,43810.52164,29951.84794,32766.39498
32827,8/16/2017 23:10,21.88,66.29,0.068,0.113,0.104,43139.26748,29484.2661,32339.05956
32828,8/16/2017 23:20,21.75,67.19,0.072,0.055,0.111,42237.86903,29066.10348,31803.38558
32829,8/16/2017 23:30,21.61,67.99,0.071,0.066,0.119,41016.82575,28628.93347,31285.76803
32830,8/16/2017 23:40,21.52,68.49,0.069,0.077,0.137,39987.56937,27956.07181,30665.83072
32832,8/17/2017 0:00,21.46,69.59,0.072,0.069,0.133,38076.09323,26884.05491,29359.74922
32833,8/17/2017 0:10,21.44,69.92,0.069,0.132,0.085,37174.69478,26522.91447,28787.96238
32834,8/17/2017 0:20,21.37,70.9,0.072,0.11,0.111,36401.15427,25983.10454,28011.53605
32838,8/17/2017 1:00,21.01,74.5,0.073,0.08,0.156,33722.53052,24131.78458,25904.95298
32842,8/17/2017 1:40,20.91,75.7,0.068,0.091,0.078,32682.30522,22261.45723,23792.3511
32843,8/17/2017 1:50,20.91,75.8,0.066,0.084,0.126,31536.15982,21881.3094,23617.80564
32844,8/17/2017 2:00,20.88,75.9,0.066,0.102,0.144,30941.62042,21611.40444,23172.41379
32845,8/17/2017 2:10,20.87,76.0,0.067,0.091,0.085,30340.68812,21166.63147,22853.41693
32848,8/17/2017 2:40,20.79,75.9,0.066,0.077,0.152,29822.86349,20520.38015,21800.12539
32849,8/17/2017 2:50,20.7,76.3,0.069,0.069,0.13,26025.4828,20113.62196,21420.94044
32850,8/17/2017 3:00,20.69,75.7,0.069,0.088,0.089,27904.99445,20166.84266,20807.02194
32851,8/17/2017 3:10,20.62,75.8,0.069,0.088,0.107,28787.21421,20045.19535,20548.21317
32852,8/17/2017 3:20,20.47,75.9,0.066,0.088,0.081,28959.82242,19938.75396,20421.81818
32853,8/17/2017 3:30,20.41,75.8,0.068,0.055,0.096,29202.7525,19733.47413,20150.97179
32854,8/17/2017 3:40,20.49,75.4,0.071,0.095,0.104,29439.28968,19646.04013,20030.59561
32855,8/17/2017 3:50,20.53,75.0,0.072,0.051,0.148,29439.28968,19782.89335,20277.36677
32856,8/17/2017 4:00,20.54,75.0,0.072,0.066,0.107,29937.93563,20052.79831,20469.96865
32857,8/17/2017 4:10,20.53,74.6,0.074,0.073,0.126,30008.25749,20098.41605,20199.12226
32860,8/17/2017 4:40,20.57,74.9,0.074,0.095,0.137,29503.21865,19687.85639,19254.16928
32861,8/17/2017 4:50,20.53,75.4,0.072,0.073,0.1,29062.10877,19319.11299,18989.34169
32862,8/17/2017 5:00,20.53,75.4,0.069,0.091,0.159,28199.0677,18741.28828,18610.15674
32863,8/17/2017 5:10,20.55,75.3,0.073,0.084,0.111,26958.84573,17612.24921,18128.65204
32864,8/17/2017 5:20,20.57,75.2,0.07,0.091,0.111,25820.9101,17167.47624,17484.6395
32865,8/17/2017 5:30,20.6,75.4,0.068,0.073,0.115,25290.29967,16897.57128,16359.12226
32867,8/17/2017 5:50,20.4,76.3,0.073,0.08,0.144,25405.37181,16046.04013,15805.39185
32868,8/17/2017 6:00,20.46,76.2,0.069,0.084,0.104,25315.87125,16319.74657,15077.11599
32869,8/17/2017 6:10,20.56,75.9,0.07,0.135,0.122,25565.19423,16840.5491,14872.47649
32870,8/17/2017 6:20,20.39,76.0,0.069,0.424,0.363,26281.19867,16848.15206,15305.83072
32871,8/17/2017 6:30,20.27,76.5,0.069,2.032,1.567,26658.37958,17057.23337,15522.50784
32872,8/17/2017 6:40,20.48,76.1,0.073,6.937,5.493,26703.12986,17380.35903,15618.80878
32873,8/17/2017 6:50,20.5,75.6,0.068,21.61,17.8,27246.52608,17616.05069,16040.12539
32874,8/17/2017 7:00,20.48,75.7,0.071,43.29,36.66,27924.17314,18395.35375,16130.40752
32875,8/17/2017 7:10,20.54,75.7,0.066,67.94,57.98,28288.56826,18965.5755,16587.83699
32876,8/17/2017 7:20,20.65,75.3,0.068,93.7,68.1,28633.78468,19387.5396,16708.21317
32877,8/17/2017 7:30,20.72,75.0,0.076,122.2,43.94,28793.6071,19870.32735,17003.1348
32878,8/17/2017 7:40,20.85,75.0,0.072,151.7,31.52,28755.24972,20311.29884,17490.65831
32879,8/17/2017 7:50,21.06,73.9,0.067,182.5,31.94,29695.00555,21227.45512,18285.14107
32880,8/17/2017 8:00,21.38,73.4,0.072,216.5,33.54,31274.00999,21482.15417,18760.62696
32881,8/17/2017 8:10,21.76,72.1,0.072,250.2,34.7,31197.33629,21923.12566,19236.11285
32882,8/17/2017 8:20,22.17,69.79,0.068,283.2,35.81,31644.83907,22519.95776,19603.26019
32883,8/17/2017 8:30,22.45,68.46,0.074,318.1,36.51,32328.87902,22957.12777,20205.14107
32884,8/17/2017 8:40,22.74,67.32,0.071,350.1,37.01,33377.3141,23679.40866,21312.60188
32885,8/17/2017 8:50,23.08,65.89,0.073,381.2,37.44,33703.35183,24086.16684,21348.71473
32886,8/17/2017 9:00,23.43,64.69,0.072,413.1,38.32,34566.3929,24489.12355,22540.43887
32887,8/17/2017 9:10,23.72,63.12,0.075,444.6,38.64,35116.18202,25264.62513,23070.09404
32889,8/17/2017 9:30,24.4,60.65,0.072,504.9,39.44,36279.68923,25960.29567,23340.94044
32890,8/17/2017 9:40,24.72,59.55,0.073,535.0,39.94,36784.72808,26386.06125,23665.95611
32893,8/17/2017 10:10,25.51,56.05,0.07,609.0,42.11,38581.13208,27302.21753,24490.53292
32894,8/17/2017 10:20,25.86,54.35,0.074,632.4,42.87,39578.42397,27591.12988,24604.89028
32895,8/17/2017 10:30,26.21,52.45,0.073,654.2,42.98,39814.96115,28077.71911,24929.90596
32896,8/17/2017 10:40,26.92,50.82,0.069,675.8,43.2,40025.92675,27956.07181,25501.69279
32897,8/17/2017 10:50,27.34,49.58,0.07,699.7,43.05,40575.71587,28096.7265,25597.99373
32898,8/17/2017 11:00,27.61,48.95,0.066,720.0,43.27,40793.07436,28115.7339,25983.19749
32899,8/17/2017 11:10,28.06,46.65,0.069,736.0,43.45,41394.00666,28214.57233,26235.98746
32900,8/17/2017 11:20,28.32,45.38,0.07,753.0,43.37,41662.50832,28533.89652,26512.85266
32901,8/17/2017 11:30,28.33,45.12,0.068,770.0,43.36,41924.61709,28640.33791,26759.62382
32903,8/17/2017 11:50,29.05,43.31,0.067,798.0,43.3,42826.01554,28963.46357,26807.77429
32904,8/17/2017 12:00,29.18,42.38,0.072,806.0,43.41,42544.72808,28891.23548,26976.30094
32906,8/17/2017 12:20,29.46,39.45,0.073,823.0,43.45,42685.37181,29107.91975,27090.65831
32908,8/17/2017 12:40,30.18,37.75,0.073,836.0,43.47,42653.40733,28997.67687,27277.24138
32909,8/17/2017 12:50,29.98,37.45,0.075,838.0,43.12,42742.90788,29047.09609,27253.16614
32911,8/17/2017 13:10,30.55,35.41,0.071,843.0,43.16,42992.23085,29678.1415,27704.5768
32912,8/17/2017 13:20,30.76,34.48,0.074,841.0,43.66,43158.44617,29438.64836,27493.9185
32914,8/17/2017 13:40,31.21,33.48,0.073,831.0,44.39,42698.1576,29362.6188,27445.76803
32915,8/17/2017 13:50,31.39,33.68,0.077,827.0,45.01,42730.12209,29301.79514,27168.90282
32917,8/17/2017 14:10,31.65,33.01,0.07,812.0,46.49,42468.01332,29218.16262,27114.73354
32918,8/17/2017 14:20,31.54,33.78,0.072,800.0,47.92,42263.44062,29161.14044,27012.41379
32919,8/17/2017 14:30,31.54,33.58,0.074,787.0,48.84,42116.404,28929.25026,26910.09404
32920,8/17/2017 14:40,31.29,36.01,0.07,778.0,52.5,41777.58047,28746.7793,26801.75549
32921,8/17/2017 14:50,30.67,38.28,0.071,762.0,53.58,41656.11543,28712.566,26693.41693
32922,8/17/2017 15:00,30.14,39.45,0.071,745.0,53.89,41585.79356,28708.76452,26747.58621
32923,8/17/2017 15:10,29.41,41.35,0.069,729.0,55.57,41515.4717,28792.39704,26573.04075
32925,8/17/2017 15:30,29.13,42.58,0.071,692.4,55.23,41074.36182,28370.43295,26217.93103
32926,8/17/2017 15:40,29.23,42.45,0.071,675.3,54.6,40997.64706,28324.81521,26019.31034
32928,8/17/2017 16:00,28.94,43.11,0.07,631.8,52.8,40307.21421,27594.93136,26121.63009
32929,8/17/2017 16:10,29.21,43.08,0.072,608.7,51.9,40057.89123,27530.30623,26037.36677
32930,8/17/2017 16:20,29.34,43.05,0.074,584.2,52.17,39725.4606,27013.30517,26001.25392
32931,8/17/2017 16:30,29.32,42.95,0.073,561.2,53.61,39814.96115,26659.76769,26043.38558
32932,8/17/2017 16:40,29.13,645.58,0.069,529.5,54.42,39642.35294,26598.94403,26169.78056
32933,8/17/2017 16:50,29.07,43.91,0.071,505.0,54.65,39207.63596,26629.35586,26229.96865
32934,8/17/2017 17:00,29.11,44.18,0.069,472.3,53.01,39022.24195,26519.11299,26308.21317
32935,8/17/2017 17:10,29.07,44.58,0.07,448.6,53.04,38881.59822,26659.76769,26536.9279
32936,8/17/2017 17:20,29.07,45.38,0.07,417.5,59.14,38958.31299,26530.51742,26819.81191
32937,8/17/2017 17:30,29.08,45.25,0.071,304.9,88.7,38689.81132,26743.40021,26843.88715
32938,8/17/2017 17:40,28.78,45.52,0.072,325.5,227.0,38900.77691,26663.56917,27072.60188
32939,8/17/2017 17:50,28.66,46.05,0.072,319.3,318.6,38875.20533,26617.95143,27331.41066
32940,8/17/2017 18:00,28.79,46.08,0.069,283.8,298.1,38868.81243,26481.0982,27891.15987
32941,8/17/2017 18:10,28.6,47.51,0.072,249.8,263.6,38977.49168,26545.72334,28342.57053
32942,8/17/2017 18:20,28.29,859.18,0.068,219.1,232.4,39559.24528,26640.7603,28824.07524
32943,8/17/2017 18:30,27.82,49.38,0.066,189.1,201.6,39891.67592,26857.44456,29329.65517
32944,8/17/2017 18:40,27.75,49.54,0.071,4191.2,172.8,40492.60821,26849.84161,30148.21317
32945,8/17/2017 18:50,27.48,50.51,0.067,132.9,142.6,41291.72031,27739.38754,31520.50157
32946,8/17/2017 19:00,27.11,52.18,0.071,107.8,115.6,43203.19645,29229.56705,34656.30094
32948,8/17/2017 19:20,26.53,53.68,0.071,63.38,66.98,49730.34406,33160.29567,38995.86207
32949,8/17/2017 19:30,26.22,55.28,0.071,43.96,45.52,51092.03108,34437.5924,39826.45768
32951,8/17/2017 19:50,25.69,56.68,0.072,13.24,11.66,51737.71365,34958.39493,40548.71473
32952,8/17/2017 20:00,25.56,57.28,0.071,5.475,4.674,51507.56937,34927.9831,39886.64577
